id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
39820826,Rental unit in Barcelona · ★4.76 · 1 bedroom · 1 bed · 1 shared bath,306357457,Mar,Eixample,el Fort Pienc,41.39823,2.17649,Private room,55,2,17,2020-03-11,0.39,2,0,0,
39555679,Rental unit in Barcelona · ★4.86 · 3 bedrooms · 5 beds · 2 baths,21483975,Apartments Toni Space Barcelona,Sants-Montjuïc,el Poble Sec,41.37309,2.15943,Entire home/apt,279,3,97,2023-06-05,2.32,16,183,55,HUTB-009542
39218030,Rental unit in Barcelona · 1 bedroom · 1 bed · 1 bath,298350648,Richard,Eixample,el Fort Pienc,41.39992,2.17698,Private room,120,1,0,,,1,0,0,
39821353,Rental unit in Barcelona · ★4.50 · 1 bedroom · 1 bed · 1 shared bath,306357457,Mar,Eixample,el Fort Pienc,41.39785,2.17635,Private room,45,2,16,2020-07-06,0.37,2,0,0,
39556948,Rental unit in Barcelona · ★4.91 · 1 bedroom · 1 bed · 1 shared bath,95541593,Elisa,Gràcia,la Vila de Gràcia,41.4003,2.15569,Private room,30,1,11,2020-03-01,0.25,1,0,0,
39828227,Rental unit in Barcelona · ★5.0 · 1 bedroom · 1 bed · 1 bath,37965268,Federica,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.383308,2.181324,Entire home/apt,60,31,5,2023-01-07,0.26,1,236,4,
39219334,Rental unit in Barcelona · ★4.63 · 2 bedrooms · 2 beds · 2 baths,37610930,Jacobo,Eixample,la Nova Esquerra de l'Eixample,41.38253,2.15418,Entire home/apt,199,2,76,2023-05-18,1.74,2,37,42,HUTB-005131
39832010,Rental unit in Barcelona · ★4.74 · 1 bedroom · 2 beds · 1 bath,301610993,Pol & Alvaro,Eixample,la Dreta de l'Eixample,41.39607,2.17495,Entire home/apt,212,1,39,2023-06-05,0.93,20,338,28,HUTB-011284
39219921,Rental unit in Barcelona · 2 bedrooms · 1 bed · 1 shared bath,54489333,Daniela,Ciutat Vella,el Raval,41.37855,2.17138,Private room,38,2,1,2019-10-12,0.02,1,0,0,
39560957,Rental unit in Barcelona · 1 bedroom · 1 bed · 1 shared bath,38579914,Mateu,Sants-Montjuïc,Hostafrancs,41.37451,2.14376,Private room,40,1,1,2019-12-13,0.02,2,0,0,
39834829,Rental unit in Barcelona · ★4.74 · 1 bedroom · 3 beds · 1 bath,301610993,Pol & Alvaro,Eixample,el Fort Pienc,41.39734,2.177,Entire home/apt,217,1,54,2023-06-04,1.31,20,323,37,HUTB-011285
39571615,Rental unit in Barcelona · Studio · 1 bed · 1 bath,265193861,Joaquim,Ciutat Vella,el Raval,41.38548,2.16583,Entire home/apt,67,32,0,,,129,273,0,
39572321,Rental unit in Barcelona · Studio · 1 bed · 1 bath,265193861,Joaquim,Ciutat Vella,el Raval,41.3836,2.16472,Entire home/apt,63,32,0,,,129,280,0,
